2025-10-23 02:35:12 [ERR] [TApp.Handlers.UILogNotificationHandler] 侧板自动拧紧: TCP : Error receiving Data：OsSockerError=5;IsoTcpError=None;S7Error=0
   在 VisDummy.Protocols.侧板自动拧紧.侧板自动拧紧Scanner.<GetDevMsgAsync>d__6.MoveNext() 位置 D:\MES\Code\Src\VisDummy.Protocols\侧板自动拧紧\PlcScanner.cs:行号 39
--- 引发异常的上一位置中堆栈跟踪的末尾 ---
   在 System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   在 StdUnit.Sharp7.Options.S7PlcScanner`2.<RunAsync>d__17.MoveNext()
2025-10-23 10:02:45 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:03:10 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:16:28 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:16:28 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 10:16:29 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:16:33 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:16:34 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:16:34 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 10:16:35 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:16:53 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:22:50 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:22:50 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 10:22:51 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:22:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:22:56 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:22:56 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:4;Batch:0;
2025-10-23 10:22:57 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:23:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:23:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:23:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:5;Batch:0;
2025-10-23 10:23:56 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:24:03 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:24:04 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:24:04 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:6;Batch:0;
2025-10-23 10:24:05 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:24:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:51:40 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:51:40 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 10:51:41 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:51:46 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 10:51:46 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 10:51:46 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 10:51:48 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:111
2025-10-23 10:52:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
